Fuel Type Code,Station Name,State,ZIP,Latitude,Longitude
ELEC,LADWP - Truesdale Center,CA,91352,34.2483191527193,-118.3879713743439
ELEC,LADWP - West LA District Office,CA,90024,34.052542,-118.448504
ELEC,Los Angeles Convention Center,CA,90015,34.040539,-118.271387
ELEC,LADWP - John Ferraro Building,CA,90012,34.059133,-118.248589
ELEC,LADWP - Haynes Power Plant,CA,90803,33.759802,-118.096665
ELEC,LADWP - Harbor Generating Station,CA,90744,33.770508,-118.265628
ELEC,LADWP - Sylmar West,CA,91342,34.30309,-118.480505
ELEC,LADWP - EV Service Center,CA,90012,34.066801,-118.227605
ELEC,LADWP - Fairfax Center,CA,90016,34.036777,-118.368841
ELEC,California Air Resources Board,CA,91731,34.06872,-118.064
ELEC,LADWP - Palmetto Center,CA,90013,34.039736,-118.236065
ELEC,Scripps Green Hospital,CA,92037,32.89947,-117.243
ELEC,Galpin Motors,CA,91343,34.221665,-118.468371
ELEC,Galleria at Tyler,CA,92503,33.909914,-117.459053
ELEC,City of Pasadena - Holly Street Garage,CA,91103,34.14762,-118.147111
ELEC,City of Pasadena - De Lacey Garage,CA,91105,34.145138,-118.152655
ELEC,City of Pasadena - Schoolhouse Garage,CA,91105,34.145119,-118.150133
ELEC,Pasadena Hilton,CA,91101,34.142973,-118.140553
ELEC,Hyatt Regency Long Beach,CA,90802,33.7637,-118.192
ELEC,Los Angeles International Airport (LAX) - Lot 6,CA,90045,33.94325,-118.403342
ELEC,Northride Fashion Center,CA,91324,34.241116,-118.556708
ELEC,Ontario Airport Hotel and Conference Center,CA,91764,34.07122,-117.575
ELEC,Courtyard Marriott - Oxnard Ventura,CA,93030,34.228315,-119.170865
ELEC,Hilton - Palm Springs,CA,92262,33.824004,-116.543589
ELEC,East Bay Mini,CA,94588,37.700187,-121.876172
ELEC,Inland Empire Foods,CA,92509,34.0189,-117.38
ELEC,Sacramento International Airport - Daily A Lot,CA,95837,38.69005,-121.58889
ELEC,City of Santa Monica - Airport,CA,90405,34.017081,-118.44704
ELEC,City of Santa Monica - Pier,CA,90405,34.010021,-118.49583
ELEC,Westfield Fashion Square,CA,91423,34.156839,-118.434454
ELEC,Van Nuys Amtrak/Metrolink Station,CA,91405,34.21108,-118.448704
ELEC,Office Max - Home Depot,CA,90241,33.94756,-118.153806
ELEC,Hyatt at Fisherman's Wharf,CA,94133,37.80619,-122.4152
ELEC,Arden Fair Mall,CA,95815,38.599693,-121.427045
ELEC,Palace Hotel,CA,94105,37.78881,-122.401
ELEC,Mark Hopkins InterContinental Hotel,CA,94108,37.791791,-122.411265
ELEC,Hotel Sofitel,CA,90048,34.076264,-118.377527
ELEC,Music Center Parking - Level 2,CA,90012,34.057657,-118.24789
ELEC,Balboa Golf Course,CA,91436,34.169242,-118.497212
ELEC,California State University - Northridge,CA,91330,34.248959,-118.523887
ELEC,California State University - Northridge,CA,91330,34.241687,-118.528543
ELEC,California State University - Northridge,CA,91330,34.236853,-118.532588
ELEC,Northridge Metrolink Station,CA,91324,34.229277,-118.544827
ELEC,Los Angeles Harbor Department Headquarters,CA,90731,33.740758,-118.28192
ELEC,Sylmar Metrolink Station,CA,91342,34.2924134,-118.4497914
ELEC,Getty Center,CA,90049,34.077588,-118.474585
ELEC,Los Angeles County - Arboretum,CA,91007,34.145528,-118.050548
ELEC,City of Glendora - City Hall,CA,91741,34.13556,-117.864
ELEC,DoubleTree Hotel - Los Angeles - Westside,CA,90230,33.9826,-118.3966
ELEC,Helms Bakery Building,CA,90034,34.029971,-118.385231
ELEC,Westfield MainPlace Mall,CA,92705,33.777054,-117.870566
ELEC,California State University - Channel Islands,CA,93012,34.16657601660278,-119.0458546627045
ELEC,Brea Downtown Parking,CA,92821,33.919899,-117.898618
ELEC,Home Depot,CA,91320,34.192178,-118.934793
ELEC,Lake Casitas Municipal Water District - Recreational Area,CA,93022,34.418322,-119.3368
ELEC,San Dimas Park & Ride,CA,91773,34.105275,-117.809208
ELEC,City of Pasadena - El Molino Lot,CA,91101,34.147709,-118.136621
ELEC,Ventura County Government Center,CA,93009,34.267352,-119.2124
ELEC,Ventura County Air Pollution Control District,CA,93003,34.268756,-119.2154
ELEC,Pacific View Mall,CA,93003,34.268,-119.2492
ELEC,LADWP - Scattergood Generating Facility,CA,90293,33.917593,-118.425334
ELEC,Los Angeles Department of Public Works - Baldwin Park Construction Permit Office,CA,91706,34.089085,-117.95463
ELEC,Los Angeles Department of Public Works - Imperial Maintenance Yard,CA,90280,33.930663,-118.175758
ELEC,University of California - Davis Extension - Lot 80,CA,95616,38.539336,-121.732405
ELEC,San Luis Obispo County Air Pollution Control District,CA,93401,35.25939,-120.64492
ELEC,Soquel & Front Garage,CA,95061,36.973393,-122.024849
ELEC,LADWP - Wilmington District Yard,CA,90744,33.773005,-118.265821
