,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
15,CNG,Black Hills Energy,1301 W 24th St,Cheyenne,WY,82001,41.135848,-104.830233
20,CNG,Intermountain Gas Co,555 S Cole Rd,Boise,ID,83709,43.599179,-116.276042
21,CNG,Intermountain Gas Co,12584 W Tyhee Rd,Pocatello,ID,83202,42.949867,-112.468069
22,CNG,Intermountain Gas Co,1527 Hollipark Dr,Idaho Falls,ID,83401,43.509729,-112.007445
23,CNG,Intermountain Gas Co,2921 Caldwell Blvd,Nampa,ID,83651,43.615117,-116.618458
24,CNG,ValleyRide,4701 Northrup St,Boise,ID,83705,43.559171,-116.241498
32,CNG,Jordan School District,8370 S 4300 W,West Jordan,UT,84088,40.599413,-111.993532
33,CNG,Questar Gas - Salt Lake City,1150 W 200 S,Salt Lake City,UT,84104,40.764976,-111.922291
34,CNG,Questar Gas - LW's Conoco,1050 W 200 N,Logan,UT,84321,41.734633,-111.861488
35,CNG,Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Price,UT,84501,39.586805,-110.813433
36,CNG,Questar Gas - Chevron,1375 N Main St,Richfield,UT,84701,38.786621,-112.084147
40,CNG,X3Energy,3103 N Industrial Way,Castle Rock,CO,80104,39.407087,-104.872002
41,CNG,Clean Energy - Denver International Airport Rental Car,27700 E 78th Ave,Denver,CO,80249,39.83765604691739,-104.6805
43,CNG,Northwest Natural Gas - Parkrose Service Center,12120 NE Inverness Dr,Portland,OR,97220,45.562809,-122.537882
44,CNG,Northwest Natural Gas - Mt. Scott Service Center,9222 SE Knapp St,Portland,OR,97266,45.46966,-122.567129
45,CNG,Northwest Natural Gas - Salem Service Center,3123 Broadway St NE,Salem,OR,97303,44.971345,-123.029369
46,CNG,Oregon Department of Administrative Services State Motor Pool,1100 Airport Rd SE,Salem,OR,97301,44.9224565,-123.003936
62,CNG,PG&E - Grass Valley Service Center,788 Taylorville Rd,Grass Valley,CA,95949,39.20062,-121.062126
63,CNG,United Parcel Service,4500 Norris Canyon Rd,San Ramon,CA,94583,37.773172,-121.968239
64,CNG,PG&E - Santa Cruz Service Center,615 7th Ave,Santa Cruz,CA,95062,36.969267,-121.999295
65,CNG,PG&E - Bakersfield Service Center,4101 Wible Rd,Bakersfield,CA,93313,35.317617,-119.039048
66,CNG,PG&E - Fresno Service Center,3754 E California Ave,Fresno,CA,93725,36.72136,-119.761165
67,CNG,PG&E - Salinas Service Center,5124 Raye Ave,Salinas,CA,93901,36.67217,-121.641106
68,CNG,PG&E - San Carlos Service Center,275 Industrial Way,San Carlos,CA,94070,37.51689164917228,-122.2624653462799
69,CNG,PG&E - San Francisco Service Center,536 Treat Ave,San Francisco,CA,94110,37.761127,-122.41383
70,CNG,PG&E - Concord Service Center,1030 Detroit Ave,Concord,CA,94518,37.956072,-122.028697
71,CNG,PG&E - Hayward Service Center,24300 Clawiter Rd,Hayward,CA,94545,37.642339,-122.117821
72,CNG,PG&E - Richmond Service Center,1100 S 27th St,Richmond,CA,94804,37.916909,-122.344036
73,CNG,PG&E - San Rafael Service Center,1220 Andersen Dr,San Rafael,CA,94901,37.951236,-122.499682
74,CNG,PG&E - Cupertino Service Center,10900 N Blaney Ave,Cupertino,CA,95014,37.335646,-122.021398
75,CNG,PG&E - San Jose Service Center,308 Stockton Ave,San Jose,CA,95126,37.335663,-121.907088
76,CNG,PG&E - Stockton Service Center,4040 West Ln,Stockton,CA,95204,37.990624,-121.283787
77,CNG,PG&E - Santa Rosa Service Center,3965 Occidental Rd,Santa Rosa,CA,95401,38.428592,-122.766929
78,CNG,PG&E - Auburn Service Center,333 Sacramento St,Auburn,CA,95603,38.888863,-121.074465
79,CNG,PG&E - Davis Service Center,1415 2nd St,Davis,CA,95616,38.545155,-121.731878
80,CNG,Sacramento Regional Transit District - Mid Town,1400 29th St,Sacramento,CA,95816,38.568857,-121.470192
81,CNG,PG&E - Florin-Perkins Service Center,5555 Florin-Perkins Rd,Sacramento,CA,95826,38.52681700136836,-121.3904188113575
82,CNG,Anderson Union High School District (Private),1471 Ferry St,Anderson,CA,96007,40.443169,-122.306738
88,CNG,Chula Vista Education Center,84 E J St,Chula Vista,CA,91910,32.631042,-117.057953
89,CNG,Trillium - San Diego Metropolitan Transit System,3650 Main St,Chula Vista,CA,91911,32.59578,-117.054443
90,CNG,San Diego Gas and Electric - Carlsbad,602 Cannon Rd,Carlsbad,CA,92008,33.13411446156775,-117.3323436878052
91,CNG,Trillium - North County Transit District West,305 Via Del Norte,Oceanside,CA,92058,33.212501,-117.352552
